Customer Account Name,Opportunities Opportunity Created Date,Accounts Salesforce Account ID,Opportunity Key Dates Current Stage,Accounts Is Churned? (Yes / No),Customer Account Toast Guid,Opportunities Total Software ARR,Opportunity Line Item Hardware Value
El Toaston,2023-05-05,0014W00003COz0WQAT,13. Booked - Need Info to Onboard,No,be5881b5-a23c-4e69-a99d-9d80eca95e5d,0,0
Island Vybz Jerk Pit,2023-05-05,0014W00003COypyQAD,13. Booked - Need Info to Onboard,No,4b216a6b-55a9-46db-9be5-aae59dd2ae29,0,0
Rosemary and Thyme,2023-05-05,0014W00003COyxDQAT,16. Closed - Onboarded,No,5f1704f7-c9c8-4cdc-bedb-4feb3409f1a2,0,0
Tay’s shack,2023-05-05,0014W00003COyp5QAD,13. Booked - Need Info to Onboard,No,66cdc53c-af7c-49e4-9232-07687929fdea,0,0
SUPERBYRD chicken,2023-05-05,0014W00003COz1UQAT,13. Booked - Need Info to Onboard,No,46cf7253-8eb5-43b1-8eeb-c59548301157,0,0
Cabin Creemees,2023-05-05,0014W00003COy0CQAT,13. Booked - Need Info to Onboard,No,15819240-6b54-4966-a366-050e5cc166b1,0,269
Friendly Caribbean Cuisine,2023-05-05,0014W00003COyiVQAT,13. Booked - Need Info to Onboard,No,1e733b48-b241-4b11-80c8-2c25b6c5ea14,0,124
Lupitas Mexican Food,2023-05-05,0014W00003COyZTQA1,13. Booked - Need Info to Onboard,No,bdbe31a7-703a-47d4-bbff-68e8bdef5a95,0,403
The Tin Cup,2023-05-05,0014W00003COz3LQAT,13. Booked - Need Info to Onboard,No,c726555d-b84e-4268-97fe-32f228ff6ba2,0,0
INDIA SPICE AND CURRY INC.,2023-05-05,0014W00003COz15QAD,13. Booked - Need Info to Onboard,No,cde90349-66a5-45aa-8585-9a45d8ccb08c,0,0
DA Mf Spot Llc,2023-05-05,0014W00003COya7QAD,13. Booked - Need Info to Onboard,No,88b43668-9bba-4586-8772-a7ff8177b8d7,0,0
The Den,2023-05-05,0014W00003COyzYQAT,13. Booked - Need Info to Onboard,No,9cb70c99-f584-4da2-ab0e-6efb857c4fc3,0,0
Yummy Tummy Flavors of Greece,2023-05-05,0014W00003COyxXQAT,13. Booked - Need Info to Onboard,No,aed53056-c9f2-490b-a078-b40f0e45c4a1,600,0
Richman Barbecue and Suya,2023-05-04,0014W00003COxThQAL,13. Booked - Need Info to Onboard,No,e8523c29-fc7c-4057-b0fc-4cca6d66b9f6,0,0
Flashback,2023-05-04,0014W00003COxq2QAD,13. Booked - Need Info to Onboard,No,be9592f1-a1b3-46fa-8885-7d686a6e11d6,900,1228.5
Pearly's Diner,2023-05-04,0014W00003COxRqQAL,16. Closed - Onboarded,No,6a2a497b-0513-4ad9-8138-1530eed7a0cc,360,269
El Michoacano,2023-05-04,0014W00003COxouQAD,13. Booked - Need Info to Onboard,No,5dc9dd48-e144-4418-9950-a3e35c53f34e,0,0
Food paradise,2023-05-04,0014W00003COxwUQAT,16. Closed - Onboarded,No,a94cde07-f821-406e-b956-96a353615932,0,0
The Dal y Mama,2023-05-04,0014W00003COxcFQAT,13. Booked - Need Info to Onboard,No,c1f91f1d-eb6a-44ba-812e-3a4f87f37572,0,124
Suru,2023-05-04,0014W00003COxUaQAL,13. Booked - Need Info to Onboard,No,08522a24-de2b-4ee1-b469-44e13ce0d29c,900,188.3
Street Spice,2023-05-04,0014W00003COxy1QAD,13. Booked - Need Info to Onboard,No,8fa640a0-a7c3-4724-b1ba-04e38993dca4,0,258
Soul Seasoning Sisters,2023-05-04,0014W00003COxbHQAT,13. Booked - Need Info to Onboard,No,475aa0c2-76e5-4556-9c1d-82d646e4de92,300,1059
Mi Casita Mariscos Taqueria LLC,2023-05-04,0014W00003COxG9QAL,13. Booked - Need Info to Onboard,No,e665cf35-a58c-41f4-837d-53aa9a26424f,0,344
Brickyard Grill,2023-05-04,0014W00003COxJ9QAL,13. Booked - Need Info to Onboard,No,8c043d41-bbdb-478c-947b-1af118aa5377,0,0
BMHK MANAGEMENT LLC,2023-05-04,0014W00003COxAAQA1,16. Closed - Onboarded,No,32e09e3f-b370-4496-839a-615817d3a8ad,3168,3650
Juicy's Famous Street Dog L.L.C.,2023-05-04,0014W00003COxLEQA1,13. Booked - Need Info to Onboard,No,a1ce5dc6-795a-4ac6-966c-2150d75ad520,0,0
Leafmore Club,2023-05-04,0014W00003COxY3QAL,13. Booked - Need Info to Onboard,No,9498a8fa-3f9c-466d-8ad8-55fe80c88614,900,879.18
italian brothers woodfire pizza catering,2023-05-04,0014W00003COxlNQAT,13. Booked - Need Info to Onboard,No,09721017-bf85-41c1-8fcf-74792db847fa,0,0
Keloni's Kitchen LLC,2023-05-04,0014W00003COxgvQAD,13. Booked - Need Info to Onboard,No,ed39b0d9-0791-4352-873e-554d09bab80e,0,0
Blue Smoke Grill,2023-05-04,0014W00003COxXtQAL,13. Booked - Need Info to Onboard,No,17c43ed4-b342-4871-b177-4f957e8af011,0,301
Upscale Eatery,2023-05-03,0014W00003COvxRQAT,13. Booked - Need Info to Onboard,No,227b9560-262b-499c-8ad0-ed7bead73b53,900,0
GG's Treats,2023-05-03,0014W00003COvtKQAT,13. Booked - Need Info to Onboard,No,666eff9c-ddf1-422c-97ce-7e11f984a196,0,0
Burger Madness,2023-05-03,0014W00003COwWRQA1,16. Closed - Onboarded,No,5b9995dd-d182-4c70-93c8-0263f3872317,0,565
Porfily LLC,2023-05-03,0014W00003COvs7QAD,16. Closed - Onboarded,No,07d6fbc6-4c00-48da-8e71-fc53d992ee54,600,685.6
Hamptons Sweet Spot,2023-05-03,0014W00003COuYBQA1,13. Booked - Need Info to Onboard,No,cbaea94d-760e-41b0-8022-720895ffe4e5,1008,1133
Birdseye dairy barn,2023-05-03,0014W00003COvvpQAD,16. Closed - Onboarded,No,d2e193c1-59fa-4d2c-86e1-4a14d4c785d1,0,539.41
Annie's Creations,2023-05-03,0014W00003COuoOQAT,13. Booked - Need Info to Onboard,No,667a96f9-dc3d-43ab-ace0-56d6c695b25c,0,258
