RESTAURANTID,INSTALL_TYPE,BOOKED_TO_WORKABLE_DAYS
966d3fd1-df77-4c08-ab91-9c346f77cc1c,Remote,78
b94d2147-b058-41f5-bc71-4e99462a671b,Self Service,29
fdcd3789-8373-442f-a4fd-cdbe1c02e3c2,Remote,53
8eec04de-d296-47ef-ae0d-afb18f6d4864,Self Service,6
2308bf42-4dd6-4ef3-a699-5e11e7b5da11,Self Service,48
5fb57ed5-dcab-4f94-9622-61373c838e79,Self Service,2
142aa0aa-253b-4964-8285-a758bd04c816,Self Service,2
b4af9196-5fc0-4658-a673-0507c0793a8c,Self Service,2
c5c4fc0a-c65f-4767-bcf1-555bad383327,Self Service,14
da66368b-7606-49c9-95d6-31b087f04ab2,Self Service,18
d91dbd89-ade7-4850-b9cd-edc43bdb6457,Self Service,104
18a1cde9-0148-45ba-87a7-4961c11d48a1,Self Service,24
aeb91f98-5e35-470d-89fa-01d7343f9434,Self Service,11
2ee4456c-f03e-4951-8229-e43c37cac06e,Self Service,18
4d7a3bfc-a0d7-4fc2-a34d-17d7e76b1dd3,Self Service,50
4c5abf2d-1b53-4b9b-b3cd-a4f0f75901f9,Self Service,21
43239b20-7c8e-4e43-b7da-b3ccb6b6218f,Remote,28
73b91d12-a5d6-4e55-910e-225bf28fa426,,6
c8c936f8-0445-4cfe-a551-bcf0223a2b56,Self Service,10
a80bfe0a-bf40-48b7-b711-92d18bef5699,Self Service,1
da110665-05d5-413c-8c56-2c446c693276,Self Service,7
82ce3dab-987a-4efa-b4e3-d01ff9c83ee3,Self Service,5
2d8ed2f8-3470-45ef-bd77-894573303cf6,Self Service,109
8ec68d19-03fc-455e-958f-556fe1a50e59,Self Service,15
950a952c-e8d8-480c-9999-fd3627700888,Self Service,6
0b19417b-0a11-4135-8199-b5ad53f584e3,Self Service,10
06d64d38-a78a-4bcb-9191-6127ab9d9bf4,Self Service,31
c8969f3e-f0aa-4b09-a750-08f539f496a3,Self Service,6
90d7062c-ce1b-469d-980a-810dc04aae33,Self Service,9
007b1535-44aa-4bc0-9010-bd4cf0941bb0,Self Service,5
59819ebe-007d-4236-84dc-760ba295f55b,Self Service,11
61083ff0-83c8-4d92-8f2f-7027114da946,Self Service,18
2db4e205-9f3d-48f2-8c0c-b8786c9c34d9,Self Service,7
f55e5367-3d37-45d8-bc81-0067eb57b1c0,Self Service,30
d8becd0f-69ed-4586-9448-b5c6d11f2bb0,Self Service,6
7d663ade-4bcd-409d-b9ab-b5e3c95a57d7,Self Service,5
148b636c-60be-4905-adc6-ed944bf393fa,Self Service,27
af58231f-bc93-4b53-9640-433b4fc9c90e,Remote,6
c5c13f8f-19ff-4cb7-8fe0-f251d73ae4a9,Self Service,5
e8804224-aa60-472a-8a9d-d842a889f649,Self Service,5
893ed233-0b6a-4c3f-95a3-f9f886bdadba,Self Service,2
a44049ce-10be-4cd9-8586-5c46a75689d6,Self Service,0
96506ad6-4002-4c72-a5b5-b6c4640328db,Self Service,1
d7a3f0aa-9176-4b49-82d3-3c68145e1a16,Self Service,6
98ecfd22-365e-4363-9fbf-3dabbf8f45f4,Self Service,7
d5d390b2-f6b6-4b71-a9c2-84e9cde94d25,Self Service,18
27418719-8ad7-47e0-bff5-793aecf571cf,Remote,26
ecd9b4b3-c692-4b80-8f9b-ac45ba52bc03,Remote,33
8712e807-7f58-41f5-bfda-798fd3aa2731,Self Service,1
6457afa0-040a-417e-8c05-e8c2df51dc2c,Self Service,8
296d8a86-ca66-4b30-8c1a-274a9cd1cca4,Self Service,13
d6273a44-8a21-4f0c-984d-8307e7e6dd3f,Self Service,22
4ab39702-7289-457d-b80a-2ddcb2d23d6b,Self Service,14
4468391b-2e1f-4304-8716-50429c358977,Self Service,5
f82b5fd6-16a0-4e60-a432-b6878822cc60,Self Service,2
e936d075-913b-4b7d-b6bc-eaa64e0d6472,Self Service,14
fdb2a815-ae1b-43be-bb71-65e12a09ab50,Self Service,42
c5d88ebc-e6a5-46dc-88c6-b0faca6ecded,Self Service,6
6daf18c7-aabf-4711-8c99-9f8fcd0de58e,Self Service,181
c99b2c1f-4fdd-4449-afdd-a518536484c7,Remote,1
ea418770-5ec4-47a1-ad43-0a9edf608ec3,Self Service,7
3477f84f-837f-4eb7-9efd-c9e68d73b3a8,Self Service,6
aa83469f-2406-473a-94b3-0398ba16eced,Self Service,6
ee40293e-0282-4959-91a7-4ea011b5687d,Self Service,37
ae2c9e2f-e8d0-450b-aa50-685fe0f0cfa5,Self Service,171
9fb9a7b7-3e14-4f2c-83b5-f6c995e07e1d,Self Service,124
5b0d5f34-c55e-424f-9596-e81bdff34946,Self Service,7
4b420b99-a234-4647-8591-e484272d200a,Self Service,6
29917f07-f72f-4880-b2d3-173277233726,Self Service,15
21ab83e1-eb83-496f-bb67-0c7f4b7b4aa6,Self Service,1
41c383b7-b878-4d51-a6b4-390ba7223b79,Remote,17
cfb61b92-abb2-4456-b78b-1dd28cc3ba37,Remote,51
b2cf13ee-cfc1-4bdb-8995-6a8555f17715,Self Service,81
9c06ad87-3723-4c81-9185-9e3b4cea3021,Self Service,49
db1c9bea-368c-4524-bb9b-36ad50a4cd18,Self Service,17
7ab6082f-e21a-457c-b4aa-23ac696aed0e,Remote,4
2f5439f3-1cd5-491f-b058-6b306342b94b,Self Service,1
4e58519f-5b60-4385-971b-6b5fb3b1151c,Self Service,1
226d53e9-359e-4661-a31e-753c02fe7532,Self Service,6
dcab5e8a-6141-4c25-86e5-e1cfc4b95638,Self Service,13
f064aa6b-5f5d-4de6-8d58-07d3f04aa20b,Self Service,20
51ab3c27-a82f-4bc2-a12a-b2a8c5d70370,Self Service,138
a01eb678-0751-4503-9354-fa220de5faed,Self Service,7
3b33777f-89a0-4e28-88ff-174f46ee133a,Self Service,15
04bc2a63-fed2-4269-aa0d-5e0135d92154,Self Service,2
7b8233e8-3cba-4add-b1ef-daf1a850d8ea,Self Service,4
140a5d5e-baff-4797-a22c-1d21a03b3378,Self Service,31
f414d969-5a4d-42f0-9285-8a4dae9fa7b0,Self Service,76
366ee9e2-63d5-4db8-886d-5706a2751e3d,Self Service,3
342f0aed-35a3-462a-b263-8574425da046,Self Service,28
b2014d04-0b80-47d1-96fe-aa7515b6d32a,Self Service,5
43644f48-4060-4baf-8384-12f8c28cba19,Self Service,1
0378ee7b-d5e7-49eb-b3da-ad67ce97f788,Self Service,50
21e51a74-4a29-4177-9bc8-57a87cbd6074,Self Service,37
5e6e5ba2-bcbe-4d94-b2ee-c21a3bfa48c4,Self Service,76
df3ac770-3a1f-4306-ad6e-720ffd35a959,Self Service,7
d36fb891-baf1-496a-b52e-cf3fa65e48ee,Remote,41
e0ad6aa7-4a52-426b-8fc3-164fdb6f5dbc,Self Service,3
184d1fd2-44ff-485e-91e8-bc61c491a5a4,Self Service,57
f3b4223b-b548-45ac-ae0f-7acd6ab0e608,Self Service,5
b7189ca9-ebd5-47c3-8a8f-fc2285b9784c,Self Service,4
a76c131a-dc47-4184-af60-16ef5e19e451,Self Service,1
40790fdf-080d-49e4-aae2-c531e78a44cb,Self Service,113
3b3ab84d-bdba-4143-afca-b9ae83f54124,Self Service,32
cba83e35-aeee-4df6-97f7-addd1d3b76fe,Self Service,9
a99f53d1-9d7d-46fd-92e3-64637b4e7b23,Self Service,4
fdcf7e1a-6077-4e56-b734-b0997a47ac26,Self Service,57
ceba1d2c-697f-4abb-9ec3-24419617c636,Self Service,8
c6011380-d9e4-4c1e-a427-848284048168,Self Service,11
11d3ecc4-6ecb-44d4-a280-aa6c01d052bc,Self Service,11
b25f78bf-b717-4273-b9c9-e605efbc9c1d,Self Service,0
8affc7c3-568d-4a0e-bc9d-055796de6559,Self Service,1
ae216d25-a553-4f36-8a13-29652e33cce4,Self Service,2
ea7366e5-c86d-4509-b576-d3b2d7a79b2a,Self Service,23
c27deec5-cbec-4eb3-970e-c956839501ad,Self Service,3
7cc0b316-4325-4855-9052-57fbbaccb21e,Self Service,8
0e4a0164-fa13-4a4f-b7ab-c954d2a0cab4,Self Service,10
08133a6e-738f-49c8-ab12-b13a3cf44e96,Self Service,4
90144a1e-2c87-4353-875f-224cde6e85a3,Self Service,2
f1c32f52-d4af-4bb8-983f-4c455f488e98,Self Service,0
9759dff4-5613-457b-a232-ea44fc3e42ed,Self Service,49
0833783a-d298-4f0b-bb09-423a9970c1cf,Self Service,39
88bbec92-368c-4d23-a3cd-6c1d806b9ee6,Self Service,1
ff85643f-1421-4068-ac5b-8c6f3a1cca98,Self Service,74
d6dea899-378f-4df1-8935-28b10eb66320,Self Service,6
71a390d6-f296-4b0c-9da0-9b59a6a51101,Self Service,4
4a78f33d-d6c2-473f-84a2-10ae6b6a8638,Self Service,1
5b7e8a02-33b7-4237-becb-fdda06a552c8,Self Service,1
8b3125b1-13ad-4e7f-a4d0-1179ab23928b,Remote,13
0c67f39b-cf80-4ba7-990c-c2057807b835,Remote,27
ce1f9485-3578-41ab-b47f-ca501301014f,Self Service,54
6ae37a88-6f43-470d-9ff9-65d89572cfd3,Self Service,7
7967569e-1912-4430-a82e-728052762ff2,Self Service,20
b7df445f-2bd6-49f6-8423-be5c2097ce06,Self Service,4
a6ef4f20-e410-4e9f-ba68-adcd888ebdec,Self Service,48
d7031bcf-e477-45b4-835b-050c1a943802,Self Service,1
85fd4ec5-62c4-45cc-b8a4-d62611d7b708,Self Service,38
daa11980-c230-4508-ad57-235133e6e3cc,Self Service,0
1a85ae75-0b58-41cf-ab50-0f6afc7a837a,Self Service,8
93a9cdb7-971f-46b7-be5a-6a5f33611289,Self Service,16
71447b9d-1cbe-47dd-b23b-453696663c6c,Self Service,12
7a44bceb-eaa4-481e-a869-0981114e8674,Self Service,53
4e1315cf-ae57-404b-b2ec-85e521eb725e,Self Service,31
4d535eb0-6832-49f6-9c63-71af3cbd8dbb,Self Service,1
69e58bc4-635b-424f-a47b-30c3e345100a,Self Service,91
61bdb94e-b25d-429e-89ee-cf37f8442424,Self Service,6
84dd89d9-9de8-4f72-90e6-694f7838002f,Self Service,1
666f418c-0cc8-4707-bb81-557318616a6b,Self Service,1
a7a4b9c5-7423-4542-acf2-bd975d1b69b3,Self Service,0
9109f6b0-2f9b-4f5d-801e-7d38b21868fe,Self Service,57
08eec746-e4b1-4e99-9fd6-23a6d781f26b,Self Service,5
89147710-499b-416d-804c-1d0c1440bcdc,Self Service,27
b33630d1-a045-4d93-9949-685a71edd41c,Self Service,10
b9d3996f-f154-44d9-98f4-e6e423b18b5c,Self Service,12
02d4ec6f-5cc7-4139-ab08-f108ecfdf182,Self Service,1
8b37d591-0ac3-4b37-8495-2847386c54c8,Self Service,8
6dc8a988-026f-4ffc-8708-3e4a5f0f7f89,Self Service,15
30556152-1fc4-4189-9785-4ae34bdf07a7,Self Service,39
106d0945-b694-469a-9374-84e8b77d417f,Self Service,1
e88a190e-78fc-4df7-9cfe-2861cf2bb4af,Self Service,42
cc94c974-cb91-4bc9-84e9-caaea314b395,Self Service,11
d5fff6bb-f834-427f-bb61-0f5db35d083c,Self Service,120
45b9bc11-cdbe-4bcb-b221-b1d5877cd6b3,Self Service,5
0b9bfcaf-9200-4ff0-ad63-c81e9601c98f,Self Service,5
5e4a8236-9a41-412a-aa86-e0894dd3472d,Self Service,13
87dd772e-2548-4379-b9b1-a81f60df1be8,Self Service,6
df82e79e-5cc6-496d-9f5e-b0314487bed8,Self Service,25
21d1aae7-8066-444f-ad45-88022c46f7ff,Self Service,7
a7ef4144-af64-434f-84d1-0e984585f6a4,Self Service,24
6361c3cd-5ff4-4ab6-badb-de9707c938a4,Self Service,1
545eb881-490a-4419-aaf8-f6e522c41f46,Self Service,28
4c2ff1e1-ead5-4d09-a3e6-029c805e94ab,Self Service,161
c6d56b77-f248-4e07-a9bc-ae2f364dba69,Self Service,2
85a83fa4-504e-4001-8cec-c0e5a8c9d350,Self Service,31
1aa1edce-59c5-4010-b875-85bf706a2d49,Self Service,2
19472dc5-0061-4ff5-b215-5fc094337b7f,Self Service,24
540658ba-98e9-444d-9789-50bde50ffbd9,Self Service,9
3d2cc9a5-14fc-48d5-8cfe-acebbefa8816,Self Service,16
f5e06a26-6c45-4d3c-8a4c-422b968e7841,Self Service,36
9a0db45d-32fc-4399-aa1d-4766ade430fb,Self Service,14
7c82b0b6-ab93-47c0-892b-4ec1253b0784,Self Service,9
4f52069a-d9ba-4d84-830e-e2022bc8fd5e,Self Service,38
