Customer Account Name,Opportunities Opportunity Created Date,Accounts Salesforce Account ID,Customer Account Toast Guid,Opportunities Total Software ARR,Opportunity Line Item Hardware Value,Passed Auto GIACT,Failed Auto GIACT,Banking Status,Banking Task Statuses,Go Live Status
POPPYS PIZZA & ITALIAN CUISINE,2023-04-11,0014W00003CNdmJQAT,f68db7d8-11d3-4a24-a2eb-f2fd3e57ef37,$600,$0.00,,,Not started,NEW,NEW
Hiw Kaow Thai Food Truck,2023-04-10,0014W00003CNcHfQAL,7584b364-8b88-4e7e-adb4-97fcd5129006,$900,$726.99,True,,Completed,COMPLETED,NEW
EL HABANERO LLC,2023-04-10,0014W00003CNdfIQAT,f119b05d-68f6-46a8-bbb0-6ad9d040e459,$0,$0.00,,,Not started,NEW,NEW
Soup-R-Dawgs,2023-04-10,0014W00003CNdfDQAT,3a836a76-f74e-4b71-b963-ee205ef75b41,$0,$0.00,,,Not started,NEW,NEW
Sam Cafe,2023-04-10,0014W00003CNcjkQAD,b7ee0976-842b-421d-9448-15b7fcf6e539,$0,$254.40,,,Not started,NEW,NEW
Hidalgos Mexican Restaurant,2023-04-10,0014W00003CNdHlQAL,107d52c8-cdb8-44e1-a93d-71da2387f3ce,$0,$319.24,,,Not started,NEW,NEW
Rita's catering,2023-04-10,0014W00003CNdB4QAL,25313877-8ce8-44f8-97bd-c1afb9b028ac,$600,$727.00,,,Not started,NEW,NEW
Edifer Pizzeria,2023-04-10,0014W00003CNdiMQAT,64e9f805-3ae2-41ee-9a53-b950f43f2ca2,$0,$0.00,,,Not started,NEW,NEW
Dope Vegan,2023-04-10,0014W00003CNd7bQAD,12c86083-852b-4bc4-ad7a-c948e5e2a0a2,$0,$508.88,,,Not started,NEW,NEW
Kitchen Creme,2023-04-10,0014W000037WunVQAS,69d73bb3-cfc1-44c4-b21e-796ee71f777a,$900,$0.00,,,Not started,NEW,NEW
S&S Coffee Spot,2023-04-10,0014W00003CNcgjQAD,112062cc-64ab-419a-8efc-ca55cd0889d7,$0,$0.00,,,Not started,NEW,NEW
Franky's Downtown,2023-04-10,0014W00003CNdE3QAL,a7bd79d2-d500-4ce4-b4e9-3dd745024392,$0,$581.70,,True,On hold,ON_HOLD,NEW
Birrieria Los Nava,2023-04-10,0014W00003CNdIjQAL,fdb14b8a-ba71-4e3e-850f-a1f4d3081d32,$0,$0.00,,,Not started,NEW,NEW
